benefitsReview,binary_sentiment
"slowed the progression of left ventricular dysfunction into overt heart failure 
alone or with other agents in the managment of hypertension 
mangagement of congestive heart failur",negative
"Although this type of birth control has more cons than pros, it did help with my cramps. It's also effective with the prevention of pregnancy. (Along with use of condoms as well)",negative
"I was used to having cramps so badly that they would leave me balled up in bed for at least 2 days.  The Ponstel doesn't take the pain away completely, but takes the edge off so much that normal activities were possible. Definitely a miracle medication!!",positive
"The acid reflux went away for a few months after just a few days of being on the drug. The heartburn started again as soon as I stopped taking it. So I began treatment again. 6 months passed and I stopped taking it. The heartburn came back, and seemed worse even. The doctor said I should try another 6 month treatment. I did, and the same exact thing happened. This went on for about three years. I asked why this wasn't curing my reflux. The doctor quite frankly told me that it wasn't a cure, but a ""treatment for the symptoms"". I was told that I would probably be on it for the rest of my life.",negative
"I think that the Lyrica was starting to help with the pain, but the side-effects were just too severe to continue.",negative
"after taking propecia for over a year, starting when i was 20 years of age my hair continued to thin, and i noticed no significant benefits",negative
"My mood has noticably improved, I have more energy, experience better sleep and digestion.",positive
"Although this drug was originally prescribed for depression, it helped with sleeplessness. Therefore, I have continued to take it for that alone. While I still on occasion have problems falling asleep, I find I can combine it with Melatonin or Valerian. In 12 years, I haven't had to increase the elavil dosage.",positive
"This simply just works fast and without any of the nasty side effects of SSRI medicines. I won't go into a long story of my panic attacks which I sought help for many years after the fact. This just works and it does what it's supposed to without any annoying side effects. When taken daily, it has stopped my panic attacks from starting and thinking patterns that lead to them. I find it can also be used as needed along with the daily treatment.",positive
"none - did nothing to help allergies. i just had a dryer, more painful version of my allergies with new allergies/irritations developing on top of my original ones. this stuff is dangerous and the side effects that many people are experiencing are not listed on the package. a class action lawsuit needs to happen.",negative
I experienced complete clearing of the Vaginosis after the regimin was completed.,positive
"Smoother more gradual onset and effect than Adderall. Effective at controlling ADD symptoms previously controlled by Adderall however this drug seems more natural and transparent. Less tension and anxiety. Less ""druggy"" unnatural feelings and thoughts.",positive
I found that this drug helps significantly with my level of depression and monthly irritability that occurs around my menstrual cycles.,positive
"For the first time in my life I had enough lashes to apply mascara to.  I had tried eyelash extensions which only broke off or pulled out what few thin lashes I did have.  Strip lashes were itchy and uncomfortable.  I now have normal lashes.
Even though I only applied it to upper lashes the lower lashes have grown longer and thicker too.",positive
Aldara did seem to crust up my previous skin cancer area and help minimize my scar from MOHS surgery for skin cancer. Due to the side effects I could only tolerate for one week opposed to 6 week regiman.,negative
"reduction in anxiety, no panic attacks.  drug is extremely effective",positive
"I'm taking Gabapentin to treat nerve disorder. My nerves are inflamed and causes to experience pelvic pain and other pelvic disorders. The Gabapentin sometimes works but I do experience relapse.

For the migraines
I find that the 800mg of Ibprofen works better with no side effect for my migraines, but the maxalt has a better track record.",positive
don't know yet back to pediatrician today,negative
Very good at relieving anxiety.  Good at generally calming me down and 'leveling me out' to make functioning easier.  Helps a little to relax muscle tension.  Calming effect makes an excellent sleep aid.,positive
"Controlled the psoriasis, however did not reduce its presence.",positive
cure the ezcema and it took aout teh roughest of the skin,positive
reduction of panic attacks and depression to almost nil,positive
"I took isotretinoin for persistent adult acne.  My skin was not by any means awful, but I did have evident pimples on my forehead and chin, and awful, awful blackheads on my nose that despite daily steaming and extraction, were terrible.  The drug totally cleared up my face, and my blackhead literally dried up in front of my eyes.  My once horribly oily skin changed to almost normal.",positive
"The treatment benefits included Skin Regeneration, and decreased Acne.  My skin felt more smooth and the pigmentation was disapearing.  Overall, the goals were accomplished however the redness of the skin took over.",positive
fits settled down to maybe 1 a fortnight which were daily before this medication,positive
Reduce number of MS relapses,positive
"I had taken Pulmicort, and other inhalants, with no major changes.  It became more difficult to maintain my exercise and lively life style. I gave in and began Symbicort and immediately experienced a relief of shortness of breath, weezing.  I feel like a new person. I still have a reaction to cold wind, and very high humidity, but so much better.  I rarely use my Albuterol.",positive
I'm feeling more grounded; highs and lows are less extreme.  You could say that my emotional 'playing field' is more level.,positive
"It seemed to work at first, but then the side effects started. Fatigue, severe memory loss, poor decisions, urinary incontinence, personality changes (crabby, irritable, withdrawn). The hard part is I can't seem to get off this stuff!! The withdrawals are horrible, shakiness, feelings of doom, loss of appetite, nausea, palpitations. It scares me so much that I just start taking it again. I'm stuck!! Don't ever start this stuff, there is something wrong with it. I don't know if I will ever be myself again.",negative
decrease in acne pustules,positive
"Alert, awake, focused",positive
My  bone density's results have always been stable and I was told to continue with the drug.,positive
"I was more alert during the first part of the day but I found that it wore off by the afternoon. I could focus clearly, and if I needed a boost during the day another dose was enough.",positive
Sleeping 7-8 hours without hangover,positive
"I have taken antidepressants for many years, and this is first that did not ""flip the switch"" on sexuality.  I no longer feel like I am looking out of a dark room.  I have more energy, feel more motivated, and overall function at a higher level than before.",positive
"Ostensibly this will halt or even reverse the effects of male-pattern baldness. So far, one month in, there is not a great deal to report. I expected my hair loss to temporarily increase, as I had read in the literature that as dormant hair follicles reactivate, they push dead hairs out in order to form new ones. In other word, hair in a dead follicle will linger for a few months, and reactivation of the follicle will push out the old hair to make room for the new. So far, this has not occurred. The product must be taken for up to two years for any noticeable hair growth to take place, so I really haven't been on it long enough to judge its re-growth potential. In terms of halting the process, however, I must say there are fewer hairs in my brush each morning, so it's possible the drug is having an effect already. I will post a fuller report in another forty-seven months, I suppose.",positive
I have A-typical migraines which gives me weird sensation in my ears such as roaring and the sense that they are vibrating.  I also do have headacheds that seem to come from ears and the back of my neck.  It help me feel better and started to decrease my symptoms but side effects were worse than original symptoms.  It helped me to ignore my symptoms and helped me to get through the day.,negative
migraine headache would stop,positive
"Assists with getting to sleep and due to longer half life than other anxiolytics(ie Alprazolam)anxiety is less upon waking. Whilst Alprazolam is extrememly effective for immediate reduction in arousal, I find Lorazepam more effective for overall lowering of anxiety.It has been especially helpful to start the day with little or no anxiety rather than with a high arousal level immediately needing management or medication.",positive
"I had   persistent periodontal problems, both stressful and painful.  Every dentist I saw  told me I was going to lose my teeth.  This drug  cleared up the condition.  It protected me against inflammation for the entire period of time that I took it.  I continued taking the drug much longer than is usually recommended because it was so effective. The effectiveness did not seem to diminish.",positive
"relieves depression, helps other things such as sleep, dieting, exercise, relationships, responses to stimulous.  The cost is lower than other antidepressants which can be a help to those on a budget.",positive
"To stop with the migraines, seizures and pain from the fibromyalgia,also have neuropathy in hands and feet from diabetes",positive
The stuff works like a charm--fast and effective.,positive
"The drug was pretty good for pain. They had me on morphine, which was horrible. The pain was preferable to the crazy dreams and paranoia I had. They then tried oxycontin, which was the best pain drug they gave me, but too addictive... so they moved me to vicodin products, which worked pretty well, with surprisingly few side effects.",positive
Effective at controlling seizures without dizziness,positive
Able to tolerate the pain,positive
very effective pain killer,positive
"Eventually Cleared my moderate acne. Had recieved antibiotics etc previosly which reduced it from severe to moderate, but then accutane completely cleared my skin after 5 months",positive
"Brought down my overall cholestorol reading from 218 to 150, LDL from 135 to 90 and triglycerides from 180 to 140 within 3 months time.",positive
"The cream made the basal cell carcinoma and actinic keratoses react, scab up, and heal to nice smooth skin after about two weeks after treatment with the cream ended.",positive
"No undesired pregnancies, lighter period",positive
"I took Minocycline hoping that it would clear up my acne. I have been taking Tetracycline for over 2 years without no result, frustrated, my doctor prescribed Minocyline. After 1 year, I was still having break out just not as bad.",positive
"no menopose benifits are loss off sytoms of menopose. improved mood leval. I have felt more energectic aand as stated a general mood elevation. I have started working out , less irratable and overall calmer. The hormone replacement has improved my lifestyle and relationships to others. I am know longer quick tempered or irritable.",positive
Lost over 30 pounds and still going!,positive
"acne cleared totally,skin became even.",positive
After 2 days of taking the medication my stomach pain subsided.  The burning i also began to go away.  it took a full week for everything to return to normal for mw.,positive
The pressure in my eyes decreased with use over a period of four months.,positive
"Skin in certain areas (e.g. forehead, cheeks) sun damage became less noticeable. Fine lines have slightly improved. However fine lines on the lower eyelids have become worse. It was therefore, not used on fine lines on the lower eyelids the entire 1 year. I have used it approximately 4 months out of the 1 year in this area. It made it crease up and look wrinkled",positive
The med. controlled my seizure disorder.,negative
"Very well managed blood pressure within normal, healthy range.  I had an allergic reaction to a more common blood pressure medication, Lisinopril (which is a combination of a thiazide diuretic and an ACE inhibitor).  The newer Tekturna has worked perfectly for me with only the slightest dizziness when I rose too quickly early on, but no side effects at all after the first few weeks.",positive
"smoother skin,less lines on the face and neck area,collagen in skin is firmer and supple",positive
The drug reduced the frequency of acid reflux events and the associated pain,negative
"Lowered blood pressure.  This was the last prescribed medication for out of control high blood pressure.  Apparently, it takes all three of the medications
to work together. With all of them, my blood pressure is within normal guidelines (or very close), but without any one of them, there is an immediate rise",positive
"After 60 days on Crestor, 5 mg. per day, in combination with changes to my diet, my LDL (bad) cholesterol fell from 180 mg/dL (high risk) to 95 mg/dL (optimal), a drop of nearly half.  My triglyceride levels were reduced as well.",positive
"At the recommendation of the Life Extension foundation, I was taking 1850 mg per day of metformin prophilatically -- as an anti-aging medicine. Gene assay testing by Biomol resveals that metformin surpresses the Sir1 gene, acting as a calorie reduction memetic. Calorie Reduction is the only currently proven way to extend life span, and the hope is that metformin will mimic this. Resveratro ( herb ) also reputably does this.",positive
"It made me feel like my old self again, i was able to go to work and actually get things done and the medication took care of the edgy feeling i had and alot of my tendency to fly off the handle.  The medicine seemed to work great except for a few side effects.",positive
"Before I started on the drug Lexapro, I felt lethargic and didn't want to get out of bed each morning. I hated getting up and facing the day. I would sit and watch the time pass by. Finally, I went to my Dr. for a checkup and he diagnosed me as being depressed. He put me on Wellbutrin and Lexapro 10 mg. I was instructed to take the pill 2 times per day everyday. For the first week I felt disconnected from myself but by the 2nd week I started to feel as if each morning was something to look forward to. I believe that Lexapro was a great addition to my life during my troubled times.",positive
helped aleviate whip lash symptoms,positive
"weight loss, more energy",positive
