text,true_label,predicted_label,pattern,pattern_corrected
"less astma attacks 
do more excerie without getting tired to quick
focus more headspins
drowsiness
night terrors 
hair lose
ears ach
mood swings
depression
pins and needles in mornings
see and hear things most of times
pale skin
not enough sleep
hear and see things
sucide thoughts \take 5mg a day for as long as your doctors think you have improved,if not continue as long as you get better ......................................................................................................................................................",neutral,positive,mixed_sentiment,mixed_sentiment
"Was taking this drug for herpes suppression.  It is recommended by some to take an antiviral for one year after the initial outbreak so as to have less outbreaks over one's lifetime.  I did get an outbreak while on the drug, however it was during a very stressful time so that is understandable.  Also, it is nice that only one dose is needed per day for most people. Side effects included mild hair loss (had much more hair loss on acyclovir), random dry heaving (retching) for no apparent reason, and headaches.  Although it seems that when I drink lots of water the headaches are fewer. Took one pill per day at the same time everyday.  It does and will stain things so be careful of the blue dye.",neutral,positive,mixed_sentiment,mixed_sentiment
"The treatment benefits were only temporary.  While it made sneezing and watery eyes diminish, it did not address the issue of respiratory difficulties.  I found that it may have even increased my respiratory symptoms in this process. I felt ditzy while on the drug and had a hard time sleeping.  I also felt the waves of how this drug would work and it was sometimes frustrating. I was to take one allegra per day to help alleviate pet allergies.",neutral,negative,mislabeled,mislabeled
carac got rid of the pre-cancerous spot and was not left with a scar burning eye by where it was applied. couldn't sleep well. I would apply the carac cream to cleansed area and have the wash my hands immediatley after applying. In the morning I would dap off the residue and apply sunscreen. I did this for 3 weeks.,neutral,positive,mixed_sentiment,mislabeled
"I have good relief of sneezing, dripping nose, chesty cough, dry throat until a couple of months ago have been on citirizine for approximately 7 years if not more.  I saw my GP last week to change as the cetirizine was no longer working on my allergies.  Since then I have slept only for about 12 hours (in six days), a nauseous feeling in my stomach with dizziness, stomach cramps, a permanent knot in my stomach, shivers, tremors and sweats, I am worried about itching starting  now.  The good news is that I am less fuzzy in my head even though I am tired, my bladder control is back and I seem to be losing some of the 3/4 stones I have gained since taking the drug.  Today I took half a tablet just to function in my job I was prescribed one tablet daily along with eye drops and a nasal spray, over seven years ago.",neutral,positive,mixed_sentiment,mixed_sentiment
I became a happier person and felt like living and being active again. I was a better mother and wife. I could focus and was not lethargic or sad. The side effects mostly were related to low sex drive. I was diagnosed with hypothyroidism and then depression. I was treated first for the hypothyroidism and then the depression. The Zoloft worked but I still felt like I had a lower than normal energy level. My doctor added in the Wellbutrin to give me the energy boost.,neutral,positive,mixed_sentiment,mixed_sentiment
"there were none that I know. Still has osteroposis.  Had to stop because of the stomacjh effect. Developed atrial fibrillation of the heart.  going to shock heart into proper rhythm.  Looked down her throat with a camera to see if there was any blood clots around her heart.  Ruptured her esophagus.  Never did find out what caused this but i figure the fosamax caused a very very small hole in the esophagus, weakened the side and the camera scope tore a hole. When fixed, there was no more pain in the stomach.  She is alright now--but almost died from this See above for treatment details as I don't know what more I could say.  She is healthy now from this.  Fosamax and this type of drugs are not very good for some people.",neutral,negative,mixed_sentiment,mislabeled
"I noticed a significant improvement in my acne. I had painfully dry, irritated, and red skin for several months, as well as higher susceptibility to sunburn and visibly peeling, flaky skin... those first few months were the worst period of treatment. After a while, however, all the symptoms except for the peeling skin and sun sensitivity diminished. I applied a pea-sized amount of Tazorac cream once a night before bed, starting in my freshmen year in high school. I've been using Tazorac ever since (five years or so) because of the positive skin effects it's supposed to have.",neutral,positive,mixed_sentiment,mixed_sentiment
"I had two early stage miscarriages, so I was tested by a reproductive specialist. She diagnosed that I have high blood clot factor. As soon as the third pregnancy was confirmed (5th week), I stated to take Lovenox once a day. After reaching 13th week and ultrasound confirmed the baby is growing well, I was allow to be off Lovenox. I am now in third trimester and my pregnancy went well. There was no side effect, however I really hated giving injection to myself. I was so painfull. The injection spot became bruised, even though I iced it right away after injection. And the bruises did not heal for a week to two weeks. I picked different injection spot every day to avoid the bruised area, so my abdomen was purple for the 9 weeks. As memtioned above in treatment benefits, this drug was used to avoid recurrance of early stage miscarriage. The high blood clot factor originates from two reasons: for one my husband and I share two HLA, and two I have condition so called antiphospholipid syndrome. To reduce the factor I was directed to take baby asperin and Lovenox. Once I reached 13th week when the plecenta is well establised and growth of baby was well, my doctor decided Lovenox is no longer needed and baby asperin alone be fine onward.",neutral,positive,mixed_sentiment,mixed_sentiment
"Blood sugar was under control. BP was under control.Sleep was much better.But I had nightmares when I was on a beta-blocker like Metoprolol earlier.Sometimes I had Sinus bradycardia also.In addition, there was an urge to smoke whenever I got up at night.My tongue used to become dry and my speech was slurred. Restlessness, Constipation,bad dreams etc. Glimeperide-1 mg b.i.d.
Metformin 500 mg b.i.d.
Amlodipine 5 mg od.
Encorate chrono 500 mg b.i.d.
Atorvastatin 10 mg o.d.
Respidon 3mg b.i.d.
Larpose 2mg HS.
Becosules-Z o.d.",neutral,positive,mixed_sentiment,mixed_sentiment
